game_name,cluster_id,cluster_label
Awesomenauts,1,Easy
Monument Builders - Titanic,1,Easy
Yu-Gi-Oh! Online,1,Easy
Zombies On A Plane,1,Easy
007 Legends,3,Competitive/E-Sports
Family Guy: Back to the Multiverse,3,Competitive/E-Sports
Forsaken World,1,Easy
F1 2012,3,Competitive/E-Sports
Dungeons & Dragons: Chronicles of Mystara,1,Easy
A Game Of Dwarves,1,Easy
Yurei No Geemu,1,Easy
F1 Online,3,Competitive/E-Sports
Mortal Kombat,3,Competitive/E-Sports
Fallout New Vegas Ultimate Edition,3,Competitive/E-Sports
You Are Not A Banana,1,Easy
Yummy Circus,1,Easy
Year 0 Tactics,1,Easy
Wyrmsun,1,Easy
Wonkey Wizard,1,Easy
Family Guy Online,1,Easy
Worldend Economica: Episode 1,1,Easy
Wings of Vi,1,Easy
Winter Maw,1,Easy
Wildlife Park 3,1,Easy
Winged Sakura: Mindy's Arc,1,Easy
Year Walk,1,Easy
Wickland,1,Easy
Warhammer 40000: Armageddon,1,Easy
X-Plane 10,3,Competitive/E-Sports
Wildstar,3,Competitive/E-Sports
Yaiba: Ninja Gaiden Z,3,Competitive/E-Sports
Windforge,3,Competitive/E-Sports
World of Diving,3,Competitive/E-Sports
Wayward Manor,3,Competitive/E-Sports
Yandere Simulator,0,AAA High Graphics
WazHack,1,Easy
Whispering Willows,3,Competitive/E-Sports
Warcide,1,Easy
X Rebirth: The Teladi Outpost,2,AAA Medium Graphics
World Of Warcraft: Warlords Of Draenor,3,Competitive/E-Sports
Wasteland 2,3,Competitive/E-Sports
Volo Airsport,1,Easy
Watch Dogs,2,AAA Medium Graphics
Viscera Cleanup Detail,1,Easy
Wolfenstein: The New Order,2,AAA Medium Graphics
Watch Dogs: Conspiracy,2,AAA Medium Graphics
Veridia Tactics,1,Easy
Warlock 2: The Exiled,3,Competitive/E-Sports
Velocibox,1,Easy
Watch Dogs: Bad Blood,0,AAA High Graphics
unwind,1,Easy
Unvanquished,1,Easy
Uriels Chasm,1,Easy
Unending Galaxy,1,Easy
Untold Universe,1,Easy
Unrest,1,Easy
Ultraworld,1,Easy
Victory: The Age of Racing,3,Competitive/E-Sports
Ukrainian Ninja,1,Easy
Truffle Saga,3,Competitive/E-Sports
TUG,1,Easy
Wargame: Red Dragon,3,Competitive/E-Sports
Wargame: Red Dragon - The Millionth Mile,3,Competitive/E-Sports
Wargame: Red Dragon - Second Korean War,3,Competitive/E-Sports
War Of The Vikings,2,AAA Medium Graphics
War The Game,1,Easy
Zineth,1,Easy
Valiant Hearts: The Great War,1,Easy
Turbo Dismount,1,Easy
Trick or Threat!!!,1,Easy
Triblaster,1,Easy
Trigger Saint,1,Easy
TRI:Of Friendship and Madness,1,Easy
Ultra Street Fighter IV,3,Competitive/E-Sports
ZafeHouse: Diaries,1,Easy
Zombie Driver HD,1,Easy
Unturned,1,Easy
Ys Origin,1,Easy
Youda Farmer,1,Easy
Tropico 5 - The Big Cheese,3,Competitive/E-Sports
Tropico 5 - Joint Venture,3,Competitive/E-Sports
Tropico 5 - Waterborne,3,Competitive/E-Sports
